id,plane_id,article,party_size,pf_time,workload
2556,1,302358,7,0.8199999999999998,28.7882
2557,1,51205,72,3.5,1274.292
2558,1,295925,4,5.4,108.0
2559,1,156645,2,6.1,60.67999999999999
2560,1,167453,4,9.9,197.4484
2561,1,163611,2,5.8,58.0942
2562,1,15251,4,13.0,263.84
2563,1,156664,4,4.3,86.4
2564,1,826092,8,4.9,195.32
2565,1,287599,7,1.4,48.643699999999995
2566,1,124596,14,2.0,141.24740000000003
2567,1,811131,6,5.4,162.0
2568,1,297528,6,5.4,162.0
2569,1,308002,607,0.07299999999999998,220.7659
2570,1,285327,8,1.6,63.17360000000001
2571,1,84530,3,6.4,95.39999999999999
2572,1,145983,70,2.6,900.851
2573,1,167231,8,6.5,261.8856
2574,1,177739,7,0.78,27.261499999999995
2575,1,811146,3,7.8,117.22500000000002
2576,1,124439,7,7.2,250.66649999999998
2577,1,285312,4,1.9,38.482
2578,1,52335,6,2.1,62.1
2579,1,815476,3,8.099999999999998,121.69200000000001
2580,1,163626,4,3.3,66.88
2581,1,848234,7,2.0,71.39999999999999
2582,1,167468,4,2.9,57.3
2583,1,245952,14,4.3,299.4866
2584,1,167498,28,3.8,531.2944
2585,1,124390,7,2.1,73.7436
2586,1,51505,4,0.2,4.0
2587,1,171858,2,25.0,252.7798
2588,1,124202,3,3.4,51.3834
2589,1,15705,8,2.9,116.4632
2590,1,15375,4,7.0,139.64839999999998
2591,1,306136,28,0.34,47.9892
2592,1,163656,8,2.3,92.72
2593,1,234817,8,7.1,283.64
2594,1,167389,4,1.5,30.0
2595,1,287036,7,1.9,65.8
2596,1,308378,48,1.9,453.5952
2598,1,15360,14,0.95,66.2564
2599,1,245967,14,1.1,75.5342
2600,1,176954,7,0.8,28.1498
2601,1,156694,4,2.1,41.28560000000001
2602,1,156758,4,8.099999999999998,161.12
2603,1,277967,4,8.9,177.88
2604,1,177607,14,0.96,66.9746
2605,1,832964,2,17.0,172.7
2606,1,308242,28,0.061,8.5092
2607,1,173247,3,1.1,16.236
2608,1,303237,14,1.7,117.173
2609,1,30513,6,1.5,45.1974
2610,1,811179,3,17.0,258.54
2611,1,811164,3,6.3,94.125
2612,1,257793,21,0.52,54.6
2613,1,171880,2,2.6,26.3
2614,1,124394,7,15.0,533.9355
2615,1,124533,7,1.2,40.3438
2616,1,191409,28,1.7,242.46600000000004
2617,1,234397,7,2.8,98.7
2618,1,183349,14,3.0,207.9
2619,1,15837,4,1.4,28.8
2620,1,171651,8,1.5,59.84
2621,1,295944,4,5.4,108.0
2622,1,156634,2,2.4,23.837
2623,1,300120,12,1.4,85.3248
2624,1,307259,20,1.8,178.564
2625,1,811134,3,6.6,99.59999999999998
2626,1,282466,28,0.98,137.5556
2627,1,300383,8,0.88,35.0056
2628,1,84523,6,1.0,31.1958
2629,1,191638,24,3.2,389.88
2630,1,302346,238,0.51,608.8992
2631,1,163604,2,5.8,58.3626
2632,1,295929,4,3.5,70.96
2633,1,173232,6,3.3,97.55460000000001
2634,1,213348,4,0.4,8.0
2635,1,167520,64,3.6,1157.3824
2636,1,277982,30,1.0,155.853
2637,1,811149,3,6.0,90.11999999999999
2638,1,232632,4,8.4,167.04
2639,1,254417,7,45.0,1583.3999999999999
2640,1,811055,12,7.8,470.52
2641,1,295467,4,2.0,40.4
2642,1,826119,2,15.0,149.75
2643,1,300000,253,0.28,356.3505
2644,1,163638,4,11.0,216.7
2645,1,15623,14,0.89,62.5436
2646,1,145856,8,1.8,72.624
2647,1,815464,3,0.083,1.242
